model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,fold
elasticnet_full,8960,128,0.0020239833082172174,0.030302628071029635,0.4792410714285714,-0.03916610875920688,-0.049648804051053694,-2.213037147580074,-3.0254309137734188,-1.8984428314460107,0.0005612243826190187,0.06257002368485029,0.008969540837091047,-0.1846734512574221,0.05898561545332491,0.001425331765381635,0.4496897163120568,0.0,10.0,50.4,fold_2019_2022_to_2023h2
zero_score,8960,128,0.002017361983888579,0.030211947098783158,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,50.4,fold_2019_2022_to_2023h2
ridge_wind_weather_only,9100,130,0.0018409107665422302,0.029066000354113896,0.5142857142857142,0.02151385937307779,0.01872571320621331,1.6361538963254054,1.268571898696654,0.7898755645572713,0.005392533327730092,0.05580711928046941,0.09662805386224792,-0.10800907400551028,0.11836321286407922,0.013909312154859365,0.8034915439170758,0.0,10.0,50.4,fold_2019_2023_to_2024h2
lagged_return_reversal,9100,130,0.0019205553019240361,0.02983891400621456,0.503956043956044,0.029093316426751885,0.0173925802314755,1.5459057075828238,0.9563902145931912,0.5954958181439962,0.0007688856608925569,0.05670528034212872,0.013559330916865599,-0.09215339244734831,0.1248059318591918,0.0019832368237308017,0.9447899618112383,0.0,10.0,50.4,fold_2019_2023_to_2024h2
ridge_finance_only,9100,130,0.0018416370939394184,0.029068787395967476,0.4969230769230769,0.018729298610573628,-0.0034701447960197953,1.2274066690731449,-0.23603782564449316,-0.14696881665072828,-0.03424129818222204,0.05718225829273705,-0.598809826763543,-0.19539989893369977,-0.02520024142746395,-0.0883208088033505,0.48554282596835796,0.0,10.0,50.4,fold_2019_2023_to_2024h2
rolling_mean_5d,9100,130,0.0019044197123810214,0.02963227360710017,0.49252747252747253,-0.008993547888320571,-0.012545189498155739,-0.5096072654820691,-0.7496260225751422,-0.4667542126675709,-0.07573907053745291,0.05395922813026308,-1.4036351734797072,-0.1826276412733934,-0.1395005576595058,-0.19535871368787458,0.4296781232951446,0.0,10.0,50.4,fold_2019_2023_to_2024h2
ridge_price_only,9100,130,0.0018457537756249678,0.02908915210910528,0.5079120879120879,-0.03606688469272698,-0.01751477964093461,-2.8939824193866106,-1.255005000432511,-0.7814281431405657,-0.08206340786030072,0.05293338524840898,-1.5503147489091926,-0.20503764939967584,-0.10760056654273788,-0.21167148852855347,0.8005455537370432,0.0,10.0,50.4,fold_2019_2023_to_2024h2
rolling_momentum_21d,9100,130,0.0109423846926468,0.07140503841550672,0.48406593406593407,0.010405627951543258,-0.01827722774187067,0.5772553846850667,-1.0588135696540921,-0.6592696613811816,-0.004926487534080805,0.056217017951696265,-0.08763338422386305,-0.15093319467748922,0.012888534771515678,-0.01270720990933541,0.19689034369885433,0.0,10.0,50.4,fold_2019_2023_to_2024h2
elasticnet_full,9100,130,0.0018446543191271163,0.02911248499673317,0.47417582417582416,-0.01075113330284633,-0.02120820443276284,-0.6570843179108486,-1.477584134420241,-0.9200169131565623,-0.04476579087228622,0.057065835249725014,-0.7844586989113059,-0.200394196614061,-0.057006324818333655,-0.1154673177261351,0.4496999454446263,0.0,10.0,50.4,fold_2019_2023_to_2024h2
ridge_full,9100,130,0.0018557199411179497,0.029225863533616853,0.4806593406593407,-0.04400437849096171,-0.0468924974650638,-2.9315741711790713,-3.6335650743462717,-2.2624372078583668,-0.04010694289575005,0.059433902192095135,-0.6748159117353796,-0.17131861023977674,-0.05223768198794021,-0.10345044794538705,0.39394435351882157,0.0,10.0,50.4,fold_2019_2023_to_2024h2
country_sector_dummy,9100,130,0.0018545056349271779,0.029205175469681627,0.46186813186813186,-0.06408801081339859,-0.07812635600983783,-4.3449567042907224,-6.265353323788029,-3.9011186507145177,-0.057311764455635836,0.060579175657506514,-0.9460637889768678,-0.19086715908258192,-0.11973576529210361,-0.14782796387366387,0.2160938352427714,0.0,10.0,50.4,fold_2019_2023_to_2024h2
ridge_country_features_only,9100,130,0.0018545056349271779,0.029205175469681627,0.46186813186813186,-0.06408801081339859,-0.07812635600983783,-4.3449567042907224,-6.265353323788029,-3.9011186507145177,-0.057311764455635836,0.060579175657506514,-0.9460637889768678,-0.19086715908258192,-0.11973576529210361,-0.14782796387366387,0.2160938352427714,0.0,10.0,50.4,fold_2019_2023_to_2024h2
zero_score,9100,130,0.001842515856370002,0.02907146960144187,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,50.4,fold_2019_2023_to_2024h2
