target_time,n_names,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure,long_count,short_count,model,fold
2023-05-26 23:00:00+00:00,70,0.004852418614659539,0.004767312231680816,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-29 23:00:00+00:00,70,0.0009298456853890627,0.0008234627066656585,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-30 23:00:00+00:00,70,-0.0019833926205286285,-0.002174881982230756,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-31 23:00:00+00:00,70,-0.0013608894067012806,-0.001445995789680004,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-01 23:00:00+00:00,70,-0.0035371378974976267,-0.0037073506634550733,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-02 23:00:00+00:00,70,0.0019247463762645115,0.0018183633975411072,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-05 23:00:00+00:00,70,0.007668422707618091,0.007583316324639368,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-06 23:00:00+00:00,70,-6.149569212017395e-05,-0.00016787867084357822,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-07 23:00:00+00:00,70,-0.004004629055971932,-0.004174841821929379,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-08 23:00:00+00:00,70,0.009010115206600456,0.008733519461919605,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-09 23:00:00+00:00,70,0.017109313560309897,0.017024207177331174,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-12 23:00:00+00:00,70,0.008902083823047571,0.008816977440068848,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-13 23:00:00+00:00,70,0.0032745155878702577,0.003189409204891534,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-14 23:00:00+00:00,70,0.008242389672030326,0.00807217690607288,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-15 23:00:00+00:00,70,0.006808312357207944,0.006638099591250497,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-16 23:00:00+00:00,70,0.004523730027463836,0.004332240665761708,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-19 23:00:00+00:00,70,-0.0014254100304681588,-0.0014254100304681588,0.0,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-20 23:00:00+00:00,70,-0.004685771687576382,-0.004962367432257233,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-21 23:00:00+00:00,70,-0.00019560989454838238,-0.00047220563922923347,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-22 23:00:00+00:00,70,7.846440826109903e-05,-0.00011302495344102862,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-23 23:00:00+00:00,70,-0.002802023063009553,-0.002802023063009553,0.0,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-26 23:00:00+00:00,70,-0.00015225447907269584,-0.0003437438407748235,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-27 23:00:00+00:00,70,-0.00038340513666730786,-0.0005536179026247546,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-28 23:00:00+00:00,70,-0.00014520716139250072,-0.0004218029060733518,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-29 23:00:00+00:00,70,-0.009071908132138947,-0.009242120898096394,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-06-30 23:00:00+00:00,70,-0.008492523931833511,-0.008577630314812235,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-03 23:00:00+00:00,70,-0.008877779362914897,-0.009047992128872343,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-04 23:00:00+00:00,70,-0.008815830528770708,-0.009007319890472836,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-05 23:00:00+00:00,70,-0.0014778610792329598,-0.0015629674622116832,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-06 23:00:00+00:00,70,0.002672300408448145,0.002395704663767294,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-07 23:00:00+00:00,70,-0.005766570193588989,-0.005958059555291117,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-10 23:00:00+00:00,70,-0.0036957889897454403,-0.003780895372724164,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-11 23:00:00+00:00,70,-0.004298580160496826,-0.004468792926454273,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-12 23:00:00+00:00,70,-0.006532995283683175,-0.006618101666661898,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-13 23:00:00+00:00,70,0.003490546138032933,0.003299056776330805,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-14 23:00:00+00:00,70,-0.0022203522779031554,-0.0024118416396052833,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-17 23:00:00+00:00,70,-0.0007393075396542069,-0.0007393075396542069,0.0,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-18 23:00:00+00:00,70,-0.002981067691422582,-0.0030874506701459863,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-19 23:00:00+00:00,70,0.00019157923688937177,-8.501650779147932e-05,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-20 23:00:00+00:00,70,0.0010855568447716768,0.0009791738660482724,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-21 23:00:00+00:00,70,-0.0044338327679457,-0.0046253221296478275,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-24 23:00:00+00:00,70,-0.0021276632611438796,-0.0024042590058247306,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-25 23:00:00+00:00,70,-0.00548492272065937,-0.005570029103638093,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-26 23:00:00+00:00,70,0.001333006906300883,0.0012479005233221596,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-27 23:00:00+00:00,70,0.005936253766113508,0.0057447644044113805,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-28 23:00:00+00:00,70,-0.00043174274248556054,-0.0006019555084430074,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-07-31 23:00:00+00:00,70,0.003695133983247813,0.0036100276002690897,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-01 23:00:00+00:00,70,-0.004775806554068429,-0.004967295915770557,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-02 23:00:00+00:00,70,-0.0030250025393384655,-0.003216491901040593,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-03 23:00:00+00:00,70,-0.0005648903471516095,-0.0008414860918324606,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-04 23:00:00+00:00,70,0.004481152376288987,0.004204556631608136,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-07 23:00:00+00:00,70,0.010142178935292038,0.009865583190611187,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-08 23:00:00+00:00,70,0.003649709908322458,0.003373114163641607,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-09 23:00:00+00:00,70,0.00441780308199537,0.004311420103271966,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-10 23:00:00+00:00,70,-0.0017256190736004457,-0.002002214818281297,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-08-11 23:00:00+00:00,70,-0.003566839939589271,-0.0036519463225679945,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
