model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.0028310997591908475,0.08802894773696135,-0.032161008758737356,-0.3853715338848178,0.18841899396371825,-0.013009577464853178,0.5218356772760917,,10.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.007140524231808156,0.08422235231556686,-0.08478181902416858,-0.37164958979559903,0.14825901960145307,-0.03281240896997557,0.4690969652109548,,10.0,84.0,buffered,0.2,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.011458850271385537,0.08579372510923496,-0.1335628014379351,-0.38796813016468834,0.17320099756244262,-0.0526561452947002,0.5851221317542561,,10.0,84.0,buffered,0.1,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.026293400328932008,0.08531218682389352,-0.308202160884803,-0.3884727375908984,0.1476755651551457,-0.12082443484485424,0.6955958549222798,,10.0,84.0,buffered,0.05,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.033101709840572265,0.087207042727289,-0.3795761076784456,-0.39246626509851323,0.1796754762087989,-0.1521102380769154,0.8595484826054774,,10.0,84.0,daily,0.0,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.030954437323373316,0.09636335611102133,0.32122622719481,-0.23966662020389057,0.2063858667478822,0.142243009605025,0.08308660251665433,,20.0,84.0,buffered,0.2,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.024530527213884844,0.09624900270599702,0.2548652611894171,-0.22492291125347752,0.18158075600666132,0.11272361314951845,0.08919319022945965,,20.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.012250807231522182,0.09574215479765748,0.12795625142773495,-0.25845499408983524,0.13272394751628047,0.05629537608770907,0.09900074019245002,,20.0,84.0,buffered,0.1,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.01066150460277229,0.091816496465187,0.11611752803936151,-0.2605564625024813,0.14070643781750114,0.048992152103215524,0.11880088823094002,,20.0,84.0,buffered,0.05,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.01055513794233004,0.06721770376254209,0.1570291359493304,-0.2289933951045764,0.30321765768737374,0.048503371973088044,0.329940784603997,,20.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,-0.0021542213542442385,0.0668119278410437,-0.032243065330631926,-0.2706325666898328,0.29895798282454433,-0.009899160032598525,0.4000740192450037,,20.0,84.0,buffered,0.05,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,-0.004483904338139109,0.06550370402553005,-0.068452683780928,-0.29118196957830167,0.21468110625569403,-0.02060460803002019,0.3047742413027387,,20.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,-0.006802502711235484,0.09334587313297653,-0.07287416661200362,-0.263517178775793,0.1038837375412273,-0.03125911960162972,0.17505551443375272,,20.0,84.0,daily,0.0,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,-0.02581293939157259,0.06345044561685567,-0.4068204587158228,-0.33300575106850233,0.10409768327205932,-0.11861660244222642,0.2884900074019245,,20.0,84.0,buffered,0.2,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,-0.03322537589355827,0.06907643890470691,-0.48099433642480766,-0.3407395637903391,0.25246434410817264,-0.15267851303468444,0.5247964470762397,,20.0,84.0,daily,0.0,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.046544669309528344,0.08428989448358316,-0.5521975035642461,-0.45670854164878505,0.14825901960145307,-0.21388383754140405,0.4690969652109548,,20.0,84.0,buffered,0.2,3,none
