model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
ridge_country_features_only,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14843510027608603,0.08816991620988573,-1.6835118672761455,-0.8382358784581322,-0.6812731988877287,-0.6820946274591573,0.0042561065877128055,,5.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.03827016384906581,0.06699252261014729,0.5712602296195525,-0.18407727680698738,0.30321765768737374,0.17586051483023096,0.329940784603997,,10.0,84.0,buffered,0.1,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.03202275519315946,0.09619557136672115,0.3328921980314546,-0.22056576839633468,0.18158075600666132,0.1471521845780899,0.08919319022945965,,10.0,84.0,buffered,0.15,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.02111713193129093,0.06524927864342975,0.3236377837476263,-0.2552778112626348,0.21468110625569403,0.0970382491128369,0.3047742413027387,,10.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.020566869407687968,0.09569301986204723,0.2149254923435119,-0.253812136946978,0.13272394751628047,0.09450966180199472,0.09900074019245002,,10.0,84.0,buffered,0.1,3,none
zero_score,27020,386,0.0011201829523633828,0.02256900356292984,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,84.0,buffered,0.1,3,none
zero_score,27020,386,0.0011201829523633828,0.02256900356292984,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.0028310997591908475,0.08802894773696135,-0.032161008758737356,-0.3853715338848178,0.18841899396371825,-0.013009577464853178,0.5218356772760917,,10.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.011458850271385537,0.08579372510923496,-0.1335628014379351,-0.38796813016468834,0.17320099756244262,-0.0526561452947002,0.5851221317542561,,10.0,84.0,buffered,0.1,3,none
ridge_finance_only,27020,386,0.0011196982785556713,0.02256340225393773,0.5049222797927461,0.011677952735059888,0.011547582709146345,1.086056781598931,1.2664009371895835,0.5907683414364752,-0.012926064486398919,0.08711381889479493,-0.14838133203653242,-0.3774757022077344,0.06424451319345253,-0.059398343949404554,0.32031828275351587,,10.0,84.0,buffered,0.15,3,none
